ShipmentID,SupplierID,OrderDate,ExpectedDelivery,ActualDelivery,Status
SHP00160,SUP021,2024-02-12,2024-02-20,2024-02-27,Delayed
SHP00161,SUP023,2024-01-05,2024-01-16,2024-01-22,Delayed
SHP00162,SUP080,2024-06-07,2024-06-21,2024-06-20,Delivered
SHP00163,SUP047,2024-02-10,2024-02-20,2024-02-25,Delayed
SHP00164,SUP015,2024-06-20,2024-06-27,2024-06-27,Delivered
SHP00165,SUP025,2024-06-04,2024-06-16,2024-06-14,Delivered
SHP00166,SUP036,2024-02-22,2024-03-03,2024-03-11,Delayed
SHP00167,SUP075,2024-04-12,2024-04-26,2024-04-24,Delivered
SHP00168,SUP051,2024-03-17,2024-03-27,2024-04-03,Delayed
SHP00169,SUP015,2024-02-01,2024-02-09,2024-02-08,Delivered
SHP00170,SUP068,2024-04-15,2024-04-23,2024-04-27,Delayed
SHP00171,SUP021,2024-06-08,2024-06-16,2024-06-25,Delayed
SHP00172,SUP013,2024-03-07,2024-03-17,2024-03-20,Delayed
SHP00173,SUP086,2024-06-09,2024-06-22,2024-07-01,Delayed
SHP00174,SUP019,2024-02-29,2024-03-07,2024-03-15,Delayed
SHP00175,SUP034,2024-05-17,2024-05-30,2024-05-29,Delivered
SHP00176,SUP078,2024-02-04,2024-02-12,2024-02-13,Delayed
SHP00177,SUP068,2024-04-12,2024-04-26,2024-04-25,Delivered
SHP00178,SUP052,2024-02-09,2024-02-23,2024-02-21,Delivered
SHP00179,SUP027,2024-06-12,2024-06-21,2024-06-30,Delayed
SHP00180,SUP029,2024-03-11,2024-03-24,2024-03-24,Delivered
SHP00181,SUP028,2024-02-27,2024-03-05,2024-03-06,Delayed
SHP00182,SUP035,2024-02-12,2024-02-26,2024-03-04,Delayed
SHP00183,SUP008,2024-04-10,2024-04-19,2024-04-21,Delayed
SHP00184,SUP016,2024-04-15,2024-04-22,2024-04-24,Delayed
SHP00185,SUP036,2024-05-20,2024-05-28,2024-06-01,Delayed
SHP00186,SUP030,2024-02-28,2024-03-12,2024-03-19,Delayed
SHP00187,SUP018,2024-04-13,2024-04-25,2024-04-30,Delayed
SHP00188,SUP002,2024-05-12,2024-05-23,2024-05-29,Delayed
SHP00189,SUP049,2024-02-14,2024-02-22,2024-03-02,Delayed
SHP00190,SUP077,2024-05-04,2024-05-18,2024-05-22,Delayed
SHP00191,SUP004,2024-06-17,2024-06-27,2024-06-29,Delayed
SHP00192,SUP090,2024-02-21,2024-03-04,2024-03-10,Delayed
SHP00193,SUP089,2024-05-19,2024-05-29,2024-06-03,Delayed
SHP00194,SUP094,2024-04-09,2024-04-16,2024-04-23,Delayed
SHP00195,SUP075,2024-05-26,2024-06-05,2024-06-11,Delayed
SHP00196,SUP007,2024-04-18,2024-04-30,2024-05-07,Delayed
SHP00197,SUP095,2024-02-01,2024-02-13,2024-02-18,Delayed
SHP00198,SUP074,2024-03-21,2024-03-29,2024-04-01,Delayed
SHP00199,SUP039,2024-03-17,2024-03-26,2024-03-27,Delayed
SHP00200,SUP013,2024-04-03,2024-04-11,2024-04-17,Delayed
SHP00201,SUP031,2024-04-27,2024-05-04,2024-05-13,Delayed
SHP00202,SUP071,2024-03-29,2024-04-12,2024-04-18,Delayed
SHP00203,SUP063,2024-03-06,2024-03-16,2024-03-23,Delayed
SHP00204,SUP056,2024-01-22,2024-01-31,2024-02-07,Delayed
SHP00205,SUP042,2024-03-28,2024-04-10,2024-04-16,Delayed
SHP00206,SUP061,2024-06-05,2024-06-16,2024-06-23,Delayed
SHP00207,SUP042,2024-04-06,2024-04-18,2024-04-18,Delivered
SHP00208,SUP056,2024-01-26,2024-02-04,2024-02-12,Delayed
SHP00209,SUP036,2024-03-01,2024-03-15,2024-03-24,Delayed
SHP00210,SUP084,2024-01-31,2024-02-13,2024-02-13,Delivered
SHP00211,SUP068,2024-05-18,2024-05-27,2024-06-04,Delayed
SHP00212,SUP007,2024-05-17,2024-05-25,2024-05-28,Delayed
SHP00213,SUP054,2024-02-19,2024-03-03,2024-03-06,Delayed
SHP00214,SUP001,2024-02-09,2024-02-20,2024-02-23,Delayed
SHP00215,SUP044,2024-03-04,2024-03-18,2024-03-20,Delayed
SHP00216,SUP045,2024-06-29,2024-07-11,2024-07-13,Delayed
SHP00217,SUP047,2024-01-14,2024-01-28,2024-01-27,Delivered
SHP00218,SUP013,2024-04-27,2024-05-04,2024-05-08,Delayed
SHP00219,SUP022,2024-05-31,2024-06-07,2024-06-16,Delayed
SHP00220,SUP021,2024-06-04,2024-06-13,2024-06-14,Delayed
SHP00221,SUP086,2024-03-21,2024-04-03,2024-04-03,Delivered
SHP00222,SUP092,2024-05-03,2024-05-12,2024-05-17,Delayed
SHP00223,SUP009,2024-02-14,2024-02-24,2024-02-25,Delayed
SHP00224,SUP026,2024-05-25,2024-06-05,2024-06-13,Delayed
SHP00225,SUP009,2024-02-13,2024-02-25,2024-02-26,Delayed
SHP00226,SUP015,2024-03-09,2024-03-18,2024-03-23,Delayed
SHP00227,SUP010,2024-03-01,2024-03-11,2024-03-09,Delivered
SHP00228,SUP088,2024-06-16,2024-06-29,2024-07-05,Delayed
SHP00229,SUP042,2024-06-29,2024-07-10,2024-07-14,Delayed
SHP00230,SUP072,2024-06-12,2024-06-24,2024-07-03,Delayed
SHP00231,SUP024,2024-05-14,2024-05-21,2024-05-20,Delivered
SHP00232,SUP080,2024-03-06,2024-03-16,2024-03-24,Delayed
SHP00233,SUP049,2024-03-29,2024-04-11,2024-04-20,Delayed
SHP00234,SUP026,2024-05-07,2024-05-18,2024-05-21,Delayed
SHP00235,SUP091,2024-05-08,2024-05-18,2024-05-23,Delayed
SHP00236,SUP037,2024-06-22,2024-07-01,2024-07-09,Delayed
SHP00237,SUP068,2024-03-26,2024-04-03,2024-04-05,Delayed
SHP00238,SUP050,2024-06-20,2024-06-27,2024-06-30,Delayed
SHP00239,SUP024,2024-02-26,2024-03-06,2024-03-15,Delayed
SHP00240,SUP019,2024-05-10,2024-05-19,2024-05-26,Delayed
SHP00241,SUP100,2024-06-25,2024-07-08,2024-07-13,Delayed
SHP00242,SUP060,2024-06-08,2024-06-21,2024-06-24,Delayed
SHP00243,SUP039,2024-01-29,2024-02-09,2024-02-18,Delayed
SHP00244,SUP074,2024-03-30,2024-04-12,2024-04-18,Delayed
SHP00245,SUP089,2024-04-28,2024-05-08,2024-05-17,Delayed
SHP00246,SUP018,2024-04-14,2024-04-21,2024-04-27,Delayed
SHP00247,SUP019,2024-01-14,2024-01-23,2024-01-29,Delayed
SHP00248,SUP036,2024-02-13,2024-02-24,2024-02-27,Delayed
SHP00249,SUP074,2024-02-16,2024-03-01,2024-03-10,Delayed
SHP00250,SUP097,2024-01-17,2024-01-31,2024-02-09,Delayed
SHP00251,SUP055,2024-06-20,2024-06-27,2024-07-03,Delayed
SHP00252,SUP069,2024-03-04,2024-03-17,2024-03-17,Delivered
SHP00253,SUP047,2024-06-28,2024-07-11,2024-07-13,Delayed
SHP00254,SUP049,2024-02-25,2024-03-06,2024-03-05,Delivered
SHP00255,SUP099,2024-02-06,2024-02-19,2024-02-28,Delayed
SHP00256,SUP098,2024-03-02,2024-03-16,2024-03-21,Delayed
SHP00257,SUP033,2024-06-08,2024-06-17,2024-06-25,Delayed
SHP00258,SUP021,2024-02-14,2024-02-28,2024-02-29,Delayed
SHP00259,SUP081,2024-05-22,2024-06-03,2024-06-06,Delayed
SHP00260,SUP022,2024-06-18,2024-06-27,2024-06-30,Delayed
SHP00261,SUP048,2024-05-10,2024-05-19,2024-05-21,Delayed
SHP00262,SUP037,2024-05-15,2024-05-28,2024-06-06,Delayed
SHP00263,SUP015,2024-04-09,2024-04-16,2024-04-25,Delayed
SHP00264,SUP035,2024-02-11,2024-02-24,2024-02-22,Delivered
SHP00265,SUP092,2024-02-03,2024-02-10,2024-02-18,Delayed
SHP00266,SUP071,2024-03-20,2024-03-27,2024-03-31,Delayed
SHP00267,SUP032,2024-01-12,2024-01-26,2024-02-02,Delayed
SHP00268,SUP011,2024-02-15,2024-02-22,2024-02-27,Delayed
SHP00269,SUP010,2024-02-24,2024-03-06,2024-03-04,Delivered
SHP00270,SUP073,2024-04-12,2024-04-20,2024-04-27,Delayed
SHP00271,SUP078,2024-03-19,2024-04-01,2024-04-05,Delayed
SHP00272,SUP077,2024-04-13,2024-04-24,2024-04-25,Delayed
SHP00273,SUP057,2024-06-04,2024-06-13,2024-06-16,Delayed
SHP00274,SUP025,2024-03-05,2024-03-16,2024-03-22,Delayed
SHP00275,SUP002,2024-04-16,2024-04-26,2024-04-28,Delayed
SHP00276,SUP064,2024-01-16,2024-01-28,2024-02-02,Delayed
SHP00277,SUP035,2024-04-08,2024-04-15,2024-04-17,Delayed
SHP00278,SUP007,2024-06-12,2024-06-25,2024-06-24,Delivered
SHP00279,SUP085,2024-05-11,2024-05-21,2024-05-22,Delayed
SHP00280,SUP018,2024-03-16,2024-03-29,2024-03-28,Delivered
SHP00281,SUP067,2024-05-13,2024-05-27,2024-05-31,Delayed
SHP00282,SUP042,2024-04-28,2024-05-10,2024-05-14,Delayed
SHP00283,SUP039,2024-01-28,2024-02-07,2024-02-07,Delivered
SHP00284,SUP041,2024-02-21,2024-03-05,2024-03-09,Delayed
SHP00285,SUP075,2024-04-17,2024-04-26,2024-04-24,Delivered
SHP00286,SUP024,2024-05-09,2024-05-16,2024-05-14,Delivered
SHP00287,SUP060,2024-06-12,2024-06-22,2024-06-28,Delayed
SHP00288,SUP046,2024-02-16,2024-02-25,2024-02-28,Delayed
SHP00289,SUP019,2024-04-29,2024-05-06,2024-05-15,Delayed
SHP00290,SUP068,2024-05-12,2024-05-20,2024-05-22,Delayed
SHP00291,SUP090,2024-06-06,2024-06-15,2024-06-18,Delayed
SHP00292,SUP042,2024-05-19,2024-05-30,2024-06-02,Delayed
SHP00293,SUP032,2024-06-25,2024-07-08,2024-07-06,Delivered
SHP00294,SUP039,2024-04-26,2024-05-10,2024-05-12,Delayed
SHP00295,SUP036,2024-02-24,2024-03-02,2024-03-08,Delayed
SHP00296,SUP097,2024-05-02,2024-05-12,2024-05-13,Delayed
SHP00297,SUP036,2024-04-03,2024-04-15,2024-04-15,Delivered
SHP00298,SUP003,2024-06-01,2024-06-11,2024-06-09,Delivered
SHP00299,SUP073,2024-01-29,2024-02-09,2024-02-08,Delivered
SHP00300,SUP008,2024-03-07,2024-03-20,2024-03-20,Delivered
SHP00301,SUP097,2024-01-03,2024-01-14,2024-01-15,Delayed
SHP00302,SUP070,2024-03-18,2024-03-28,2024-04-01,Delayed
SHP00303,SUP041,2024-01-15,2024-01-29,2024-02-01,Delayed
SHP00304,SUP068,2024-03-17,2024-03-30,2024-04-07,Delayed
SHP00305,SUP013,2024-01-13,2024-01-25,2024-01-30,Delayed
SHP00306,SUP049,2024-02-02,2024-02-09,2024-02-15,Delayed
SHP00307,SUP060,2024-02-25,2024-03-09,2024-03-12,Delayed
SHP00308,SUP002,2024-06-10,2024-06-19,2024-06-23,Delayed
SHP00309,SUP060,2024-03-05,2024-03-18,2024-03-19,Delayed
SHP00310,SUP005,2024-02-11,2024-02-22,2024-02-21,Delivered
SHP00311,SUP044,2024-03-07,2024-03-18,2024-03-24,Delayed
SHP00312,SUP027,2024-05-09,2024-05-20,2024-05-26,Delayed
SHP00313,SUP032,2024-04-06,2024-04-18,2024-04-19,Delayed
SHP00314,SUP021,2024-05-03,2024-05-16,2024-05-25,Delayed
SHP00315,SUP008,2024-04-22,2024-05-06,2024-05-06,Delivered
SHP00316,SUP072,2024-01-13,2024-01-27,2024-02-03,Delayed
SHP00317,SUP050,2024-01-28,2024-02-10,2024-02-18,Delayed
SHP00318,SUP067,2024-03-12,2024-03-26,2024-03-29,Delayed
SHP00319,SUP044,2024-05-15,2024-05-23,2024-05-23,Delivered
SHP00320,SUP058,2024-04-12,2024-04-24,2024-04-22,Delivered
SHP00321,SUP003,2024-04-04,2024-04-11,2024-04-12,Delayed
SHP00322,SUP086,2024-05-09,2024-05-16,2024-05-14,Delivered
SHP00323,SUP070,2024-02-11,2024-02-18,2024-02-17,Delivered
SHP00324,SUP002,2024-01-11,2024-01-18,2024-01-18,Delivered
SHP00325,SUP087,2024-03-13,2024-03-20,2024-03-25,Delayed
SHP00326,SUP044,2024-02-17,2024-03-02,2024-03-09,Delayed
SHP00327,SUP002,2024-01-20,2024-01-30,2024-01-31,Delayed
SHP00328,SUP081,2024-02-20,2024-03-02,2024-03-03,Delayed
SHP00329,SUP035,2024-04-04,2024-04-16,2024-04-23,Delayed
SHP00330,SUP098,2024-02-05,2024-02-15,2024-02-21,Delayed
SHP00331,SUP087,2024-03-26,2024-04-07,2024-04-11,Delayed
SHP00332,SUP030,2024-05-23,2024-05-31,2024-05-30,Delivered
SHP00333,SUP008,2024-05-20,2024-06-02,2024-06-02,Delivered
SHP00334,SUP022,2024-05-29,2024-06-07,2024-06-08,Delayed
SHP00335,SUP044,2024-04-24,2024-05-05,2024-05-06,Delayed
SHP00336,SUP058,2024-06-24,2024-07-02,2024-07-09,Delayed
SHP00337,SUP036,2024-06-23,2024-07-03,2024-07-08,Delayed
SHP00338,SUP069,2024-02-09,2024-02-18,2024-02-25,Delayed
SHP00339,SUP077,2024-05-01,2024-05-14,2024-05-21,Delayed
SHP00340,SUP093,2024-01-21,2024-01-29,2024-02-01,Delayed
SHP00341,SUP031,2024-06-22,2024-07-05,2024-07-05,Delivered
SHP00342,SUP047,2024-02-23,2024-03-07,2024-03-15,Delayed
SHP00343,SUP055,2024-04-02,2024-04-16,2024-04-22,Delayed
SHP00344,SUP080,2024-05-13,2024-05-25,2024-06-01,Delayed
SHP00345,SUP062,2024-02-17,2024-02-26,2024-03-02,Delayed
SHP00346,SUP030,2024-04-01,2024-04-13,2024-04-19,Delayed
SHP00347,SUP055,2024-03-13,2024-03-26,2024-03-28,Delayed
SHP00348,SUP016,2024-02-08,2024-02-22,2024-02-22,Delivered
SHP00349,SUP012,2024-05-15,2024-05-23,2024-05-24,Delayed
SHP00350,SUP017,2024-01-24,2024-02-06,2024-02-15,Delayed
SHP00351,SUP016,2024-04-23,2024-05-03,2024-05-05,Delayed
SHP00352,SUP012,2024-03-30,2024-04-12,2024-04-18,Delayed
SHP00353,SUP008,2024-06-16,2024-06-28,2024-07-04,Delayed
SHP00354,SUP084,2024-05-22,2024-05-31,2024-05-31,Delivered
SHP00355,SUP003,2024-02-19,2024-02-27,2024-03-02,Delayed
SHP00356,SUP016,2024-01-29,2024-02-10,2024-02-13,Delayed
SHP00357,SUP030,2024-04-02,2024-04-15,2024-04-16,Delayed
SHP00358,SUP023,2024-05-15,2024-05-25,2024-05-27,Delayed
SHP00359,SUP092,2024-01-16,2024-01-27,2024-02-03,Delayed
SHP00360,SUP005,2024-04-23,2024-05-07,2024-05-06,Delivered
SHP00361,SUP084,2024-02-29,2024-03-10,2024-03-18,Delayed
SHP00362,SUP065,2024-06-18,2024-07-01,2024-07-05,Delayed
SHP00363,SUP030,2024-04-06,2024-04-16,2024-04-17,Delayed
SHP00364,SUP021,2024-03-22,2024-04-05,2024-04-04,Delivered
SHP00365,SUP084,2024-01-16,2024-01-27,2024-02-04,Delayed
SHP00366,SUP070,2024-06-05,2024-06-15,2024-06-18,Delayed
SHP00367,SUP022,2024-05-05,2024-05-16,2024-05-24,Delayed
SHP00368,SUP082,2024-06-25,2024-07-08,2024-07-17,Delayed
SHP00369,SUP072,2024-03-20,2024-03-31,2024-03-30,Delivered
SHP00370,SUP032,2024-01-24,2024-02-05,2024-02-12,Delayed
SHP00371,SUP033,2024-03-02,2024-03-14,2024-03-13,Delivered
SHP00372,SUP016,2024-02-21,2024-03-03,2024-03-07,Delayed
SHP00373,SUP076,2024-01-03,2024-01-11,2024-01-09,Delivered
SHP00374,SUP038,2024-01-23,2024-02-01,2024-02-05,Delayed
SHP00375,SUP098,2024-05-12,2024-05-20,2024-05-27,Delayed
SHP00376,SUP014,2024-03-04,2024-03-15,2024-03-17,Delayed
